Asset Name,Parent Asset,Make,Model,Serial Number
BAK - Bakery,PDX - Portland,,,
CDC - CDC,PDX - Portland,,,
VOG - Vogan,PDX - Portland,,,
BL - Bread Line,BAK - Bakery,,,
EL - English Muffin Line,BAK - Bakery,,,
ML - Main Line,BAK - Bakery,,,
SL - String Line,BAK - Bakery,,,
SUPP - Support Equipment,BAK - Bakery,,,
319 - BREAD PROOFBOX,BL - Bread Line,PFENNING,,
320 - WIDGET RACK UNLOADER,BL - Bread Line,WIDGET,,
322 - 960 TUNNEL OVEN,BL - Bread Line,APV,960,44159
326 - B/L METAL DETECTOR,BL - Bread Line,,,
328 - BREAD COOLER,BL - Bread Line,STEWART,,B1018174
330 - BREAD PAN STACKER,BL - Bread Line,STEWART,,B09236
331 - BREAD PAN UNSTACKER,BL - Bread Line,STEWART,,B011308
366 - UBE SLICER #1,BL - Bread Line,UBE,90-75,1800-521
367 - UBE SLICER #2,BL - Bread Line,UBE,90-75,1800-587
368 - UBE OVERWRAPPER #1,BL - Bread Line,UBE,175,175-061
369 - UBE OVERWRAPPER #2,BL - Bread Line,UBE,175,175-060
370 - UBE BAGGER #1,BL - Bread Line,UBE,75-1,7500-268
371 - UBE BAGGER #2,BL - Bread Line,UBE,75-1,7500-267
308 - #3 MIXER,BL - Bread Line,BAKER PERKINS,1300#,
316 - V/L BREAD OVERHEAD PROOFER,BL - Bread Line,APV,APV,
310 - #4 MIXER,BL - Bread Line,APV,2000#,54961
314 - BL VEMAG DIVIDER,BL - Bread Line,VEMAG,HP 25E,1640793
317 - BREAD SHEETER/ MOULDER,BL - Bread Line,LANE,P-4,P-4 3090
300 - OS DOUGH TRO SCALES,BL - Bread Line,,,
301 - OS TRO GREASE SYSTEM,BL - Bread Line,,,
302 - SIFTING FLOUR HOPPER ASSY,BL - Bread Line,BAKER PERKINS,,
303 - #3 MIXER FLOUR HOPPER ASSY,BL - Bread Line,APV,900 LBS,
303 - #3 MIXER FLOUR HOPPER SCALE ASSY,BL - Bread Line,BAKER PERKINS,900#,
304 - #4 MIXER FLOUR HOPPER ASSY,BL - Bread Line,APV,900 LBS,
304 - #4 MIXER FLOUR HOPPER SCALE ASSY,BL - Bread Line,BAKER PERKINS,900#,
305 - #3 MIXER SUGAR METER,BL - Bread Line,,,
305 - #3 MIXER WATER METER,BL - Bread Line,SPANGLER,,
305 - #3 MIXER SOY OIL METER,BL - Bread Line,,,
305 - #3 MIXER YEAST METER,BL - Bread Line,,,
306 - #4 MIXER SUGAR METER,BL - Bread Line,,,
306 - #4 MIXER WATER METER,BL - Bread Line,SPANGLER,,
306 - #4 MIXER SOY OIL METER,BL - Bread Line,,,
307 - #4 MIXER INGREDIATOR ASSY,BL - Bread Line,APV CREPACO,APV CREPACO (150 GAL,AO176
309 - #4 TRO-HOIST ASSY,BL - Bread Line,APV,40676,W/O #2827
310 - #4 MIXER DOOR HYDRAULIC UNIT,BL - Bread Line,APPLIED IND,,
311 - BREAD TRO ROOM,BL - Bread Line,CLOCK ASSOC,,
312 - BL BUN TROUGHS,BL - Bread Line,UNION STEEL,,
313 - #3 AND#4 MIXER GLYCOL SYSTEM,BL - Bread Line,PROCHILLER SYSTEMS,5H60,
315 - BREAD DOUGH ROUNDER,BL - Bread Line,APV,,
318 - HYDROPLATE PAN OILER,BL - Bread Line,BURFORD,7100,
321 - OVEN FEED CONVEYOR,BL - Bread Line,,,
321 - T-TRANSFER,BL - Bread Line,,,
322 - 960 TUNNEL OVEN LOADER,BL - Bread Line,APV,960,44159
322 - 960 TUNNEL OVEN UNLOADER,BL - Bread Line,APV,960,44159
323 - D-1 THRU D-3 CONV,BL - Bread Line,APV,,
