PM Name,PM Description,Instruction 1,Instruction 2,Instruction 3,Instruction 4,Instruction 5,Instruction 6,Instruction 7,Instruction 8,Instruction 9,Instruction 10,Asset ID,Scheduling start on (MM/DD/YYYY),Repeat X Days,Repeat X Weeks,Repeat X Months,Repeat X Years,Assigned To User (user login),Assigned To Team (team name),Part ID,Part Suggested Qty,Default Priority Level,Estimated Time (in minutes),Always Create New PMs,Recalculate on PM Completion,Task Status Configuration (Green),Task Status Configuration (Orange),Task Status Configuration (Red)
371.7-LUBE AN...,,LUBE AND INSPECT SCOPE SHUTTLE AND FILL RESERVOIR WITH 10W OIL,,,,,,,,,,40,6/15/2022,7,,,,,Technician,,,3,30,1,0,0,-1,-2
371.28-INSPECT...,,INSPECT OIL LEVEL AND CONDITION IN GEARBOXES. DEPENDING ON CONDITION REPLACE OIL OR REPLACE THE GEARBOX. ,,,,,,,,,,40,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
371.7-CHECK C...,,"CHECK CONDITION OF ALL MACHINE GUARDS, REPAIR OR REPLACE ANY MISSING GUARDS",,,,,,,,,,40,6/15/2022,7,,,,,Technician,,,3,30,1,0,0,-1,-2
371.28-INSPECT...,,INSPECT ELECTRICAL COMPONENTS FOR DAMAGE. REPAIR OR REPLACE AS NEEDED,,,,,,,,,,40,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
371.28-LUBRICA...,,LUBRICATE AND INSPECT ALL PNEUMATIC COMPONENTS REPLACE AS NEEDED.,,,,,,,,,,40,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
379.28-INSPECT...,,INSPECT ALL MECHANICAL COMPONENTS FOR DAMAGE AND EXCESSIVE WEAR. REPAIR OR REPLACE PARTS AS NEEDED. ,,,,,,,,,,100,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
379.14-CHECK T...,,CHECK THE CONDITION OF ALL SPRINGS AND LINKAGES.  REPAIR OR REPLACE AS NEEDED.,,,,,,,,,,100,6/15/2022,14,,,,,Technician,,,3,30,1,0,0,-1,-2
379.28-CHECK O...,,"CHECK OPERATION AND CONDITION OF PRINTER ASSEMBLY, REPAIR OR REPLACE COMPONENTS AS NEEDED.",,,,,,,,,,100,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
379.14-CHECK C...,,"CHECK CONDITION OF BRUSH ASSEMBLY. CLEAN DEBRIS OUT OF CHIANS AND SPROCKETS, INSPECT ADJUSTMENT LINKAGE AND LEAD SCREW. REPAIR AS NEEDED. ",,,,,,,,,,100,6/15/2022,14,,,,,Technician,,,3,30,1,0,0,-1,-2
379.28-INSPECT...,,INSPECT ELECTRICAL COMPONENTS FOR DAMAGE. REPAIR OR REPLACE AS NEEDED,,,,,,,,,,100,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
379.28-CHECK C...,,CHECK CONDITION AND OPERATION OF LOC REEL ASSEMBLY,,,,,,,,,,100,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
380.28-INSPECT...,,INSPECT ALL MECHANICAL COMPONENTS FOR DAMAGE AND EXCESSIVE WEAR. REPAIR OR REPLACE PARTS AS NEEDED. ,,,,,,,,,,101,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
380.14-CHECK T...,,CHECK THE CONDITION OF ALL SPRINGS AND LINKAGES.  REPAIR OR REPLACE AS NEEDED.,,,,,,,,,,101,6/15/2022,14,,,,,Technician,,,3,30,1,0,0,-1,-2
380.28-CHECK O...,,"CHECK OPERATION AND CONDITION OF PRINTER ASSEMBLY, REPAIR OR REPLACE COMPONENTS AS NEEDED.",,,,,,,,,,101,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
380.14-CHECK C...,,"CHECK CONDITION OF BRUSH ASSEMBLY. CLEAN DEBRIS OUT OF CHIANS AND SPROCKETS, INSPECT ADJUSTMENT LINKAGE AND LEAD SCREW. REPAIR AS NEEDED. ",,,,,,,,,,101,6/15/2022,14,,,,,Technician,,,3,30,1,0,0,-1,-2
380.28-INSPECT...,,INSPECT ELECTRICAL COMPONENTS FOR DAMAGE. REPAIR OR REPLACE AS NEEDED,,,,,,,,,,101,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
380.28-CHECK C...,,CHECK CONDITION AND OPERATION OF LOC REEL ASSEMBLY,,,,,,,,,,101,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
375.28-LUBRICA...,,"LUBRICATE AND INSPECT ALL MECHANICAL COMPONENTS INCLUDING CHAINS, SPROCKETS, BELTS, PULLEYS, LINKAGES, PUSHERS, GUIDES AND WEAR STRIPS. REPAIR AS NEEDED",,,,,,,,,,95,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
375.28-CHECK O...,,CHECK OIL LEVEL AND CONDITION IN GEARBOXES. DEPENDING ON CONDITION REPLACE OIL OR REPLACE THE GEARBOX. ,,,,,,,,,,95,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
375.7-CHECK C...,,"CHECK CONDITION OF ALL MACHINE GUARDS, REPAIR OR REPLACE ANY MISSING GUARDS",,,,,,,,,,95,6/15/2022,7,,,,,Technician,,,3,30,1,0,0,-1,-2
375.28-INSPECT...,,INSPECT ELECTRICAL COMPONENTS FOR DAMAGE. REPAIR OR REPLACE AS NEEDED,,,,,,,,,,95,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
375.7-LUBRICA...,,LUBRICATE AND INSPECT ALL PNEUMATIC COMPONENTS REPLACE AS NEEDED.,,,,,,,,,,95,6/15/2022,7,,,,,Technician,,,3,30,1,0,0,-1,-2
376.28-INSPECT...,,INSPECT ALL MECHANICAL COMPONENTS FOR DAMAGE AND EXCESSIVE WEAR. REPAIR OR REPLACE PARTS AS NEEDED. ,,,,,,,,,,96,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
376.14-CHECK T...,,CHECK THE CONDITION OF ALL SPRINGS AND LINKAGES.  REPAIR OR REPLACE AS NEEDED.,,,,,,,,,,96,6/15/2022,14,,,,,Technician,,,3,30,1,0,0,-1,-2
376.28-CHECK O...,,"CHECK OPERATION AND CONDITION OF PRINTER ASSEMBLY, REPAIR OR REPLACE COMPONENTS AS NEEDED.",,,,,,,,,,96,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
376.14-CHECK C...,,"CHECK CONDITION OF BRUSH ASSEMBLY. CLEAN DEBRIS OUT OF CHIANS AND SPROCKETS, INSPECT ADJUSTMENT LINKAGE AND LEAD SCREW. REPAIR AS NEEDED. ",,,,,,,,,,96,6/15/2022,14,,,,,Technician,,,3,30,1,0,0,-1,-2
376.28-INSPECT...,,INSPECT ELECTRICAL COMPONENTS FOR DAMAGE. REPAIR OR REPLACE AS NEEDED,,,,,,,,,,96,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
376.28-CHECK C...,,CHECK CONDITION AND OPERATION OF LOC REEL ASSEMBLY,,,,,,,,,,96,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
548.28-LUBRICA...,,LUBRICATE AND INSPECT ALL PNEUMATIC COMPONENTS. REPAIR OR REPLACE AS NEEDED,,,,,,,,,,437,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
548.28-LUBRICA...,,"LUBRICATE AND INSPECT ALL MECHANICAL COMPONENTS INCLUDING SHAFTS, BEARINGS, U-JOINTS, CHAINS, SPROCKETS, AUGERS, PIPING, DIVERTERS, THREADED HARDWARE, GASKETS AND SEALS.",,,,,,,,,,437,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
548.28-CHECK T...,,CHECK THE OIL LEVELS FOR THE BLOWERS - FILL TO JUST UNDER FILL PLUG.,,,,,,,,,,437,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
548.28-INSPECT...,,"INSPECT AIR FILTER MATERIAL ON FLOUR BLOWERS, REPLACE IF NEEDED.",,,,,,,,,,437,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
548.90-INSPECT...,,INSPECT ELECTRICAL COMPONENTS FOR DAMAGE. REPLACE IF NEEDED,,,,,,,,,,437,6/15/2022,90,,,,,Technician,,,3,30,1,0,0,-1,-2
548.180-CHANGE ...,,CHANGE OIL IN ALL FLOUR BLOWERS,,,,,,,,,,437,6/15/2022,180,,,,,Technician,,,3,30,1,0,0,-1,-2
548.28-INSPECT...,,"INSPECT MOUNTING AND CONDITION OF ALL GUARDS, REPLACE OR REPAIR IF NEEDED.",,,,,,,,,,437,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
541.28-CHECK C...,,CHECK CALIBRATION ACCURACY OF ALL INGREDIENT METERS. USE THE INGREDIENT METER CHECK FORM TO LOG THE READINGS. MAKE ANY ADJUSTMENTS OR REPAIRS IF NEEDED TO RESTORE ACCURACY.  ,,,,,,,,,,390,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
541.28-CHECK A...,,"CHECK ALL PIPING FOR LEAKS OR DAMAGE, REPAIR AS NEEDED",,,,,,,,,,390,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
541.28-INSPECT...,,INSPECT ELECTRICAL COMPONENTS FOR DAMAGE. REPLACE IF NEEDED,,,,,,,,,,390,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
541.28-LUBRICA...,,LUBRICATE AND INSPECT ALL PNEUMATIC COMPONENTS. REPAIR OR REPLACE AS NEEDED,,,,,,,,,,390,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
504.14-CHECK C...,,CHECK CONDITION AND OPERATION OF AGITATOR IMPELLOR AND COUPLER. REPAIR IF NEEDED,,,,,,,,,,407,6/15/2022,14,,,,,Technician,,,3,30,1,0,0,-1,-2
504.28-INSPECT...,,INSPECT ALL PIPING FOR LEAKS OR DAMAGE. REPAIR AS NEEDED. ,,,,,,,,,,407,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
504.28-CHECK T...,,CHECK THE CONDITION AND OPERATION OF THE PUMP. ,,,,,,,,,,407,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
504.28-INSPECT...,,INSPECT ELECTRICAL COMPONENTS FOR DAMAGE. REPLACE IF NEEDED,,,,,,,,,,407,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
505.28-LUBRICA...,,"LUBRICATE AND INSPECT ALL MECHANICAL COMPONENTS INCLUDING GEARBOXES, BEARINGS, SHAFTS, LEAD SCREWS, BELTS, PULLEYS, AND FRAMEWORK. REPAIR AS NEEDED. ",,,,,,,,,,408,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
505.28-INSPECT...,,INSPECT ELECTRICAL COMPONENTS FOR DAMAGE. REPLACE IF NEEDED. ,,,,,,,,,,408,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
505.28-INSPECT...,,INSPECT MOTOR BRAKE FOR PROPER ADJUSTMENT. CHECK FOR PROPER OPERATION.  REPAIR OR REPLACE IF NEEDED.,,,,,,,,,,408,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
505.7-CHECK C...,,"CHECK CONDITION OF ALL MACHINE GUARDS, REPAIR OR REPLACE ANY MISSING GUARDS",,,,,,,,,,408,6/15/2022,7,,,,,Technician,,,3,30,1,0,0,-1,-2
506.28-LUBRICA...,,"LUBRICATE AND INSPECT ALL MECHANICAL COMPONENTS INCLUDING BEARINGS, SHAFTS, SEALS, BUSHINGS, BELTS, PULLEYS AND WEAR STRIPS. REPAIR AS NEEDED",,,,,,,,,,409,6/15/2022,28,,,,,Technician,,,3,30,1,0,0,-1,-2
506.14-LUBRICA...,,LUBRICATE AND INSPECT ALL PNEUMATIC COMPONENTS. REPAIR OR REPLACE AS NEEDED,,,,,,,,,,409,6/15/2022,14,,,,,Technician,,,3,30,1,0,0,-1,-2
